Organ,0000,0002,0003,0005,0006,0007,0008,0009,0010,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024
Aorta,0.0,0.0,0.0,0.0,0.0,0.7913933197657267,0.0,0.0,0.8118516147136688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colon cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esophagus,0.0,0.20945950523673673,0.0,0.0,0.0,0.4441076417764028,0.0,0.0,0.548542919754982,0.0,0.48732755035161973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallbladder,0.0,0.334944548473383,0.0,0.0,0.0,0.3965564575046301,0.0,0.15834642946720123,0.581439557671547,0.0,0.4364702828228474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inferior vena cava,0.0,0.5843059895560145,0.0,0.0,0.0,0.6982056796550751,0.0,0.0,0.7567274808883667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left adrenal gland,0.0,0.12782537254194418,0.0,0.0,0.0,0.24810431307802597,0.0,0.0,0.14788229195401073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left kidney,0.0,0.6904701050370932,0.0,0.0,0.0,0.7697405020395914,0.0,0.0,0.8185204207897187,0.0,0.7684770941734314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver,0.9306061714887619,0.8643057482937971,0.9115384858846665,0.0,0.0,0.8840223153432211,0.0,0.8537857085466385,0.91887948513031,0.8623206785746983,0.8204714387655259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3629393130540848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pancreas,0.0,0.3478498558397405,0.5995410221070051,0.0,0.0,0.5880854427814484,0.6120595213244943,0.0,0.7615369498729706,0.0,0.5625052392482758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portal/splenic vein,0.0,0.0,0.0,0.0,0.0,0.26320819308360416,0.0,0.37823212146759033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right adrenal gland,0.0,0.18502835067920387,0.0,0.0,0.0,0.31061353782812756,0.0,0.0,0.22016838677227496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right kidney,0.0,0.6759158379087845,0.0,0.0,0.0,0.7587898671627045,0.0,0.0,0.8274060010910034,0.0,0.7716892033815383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spleen,0.0,0.7161918021738529,0.8213246182352304,0.0,0.0,0.8169194161891937,0.0,0.09421911090612411,0.8478110373020172,0.0,0.7407159328460693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stomach,0.0,0.5875954845299324,0.0,0.0,0.0,0.7601680954297384,0.0,0.0,0.7927390992641449,0.0,0.7278725609183312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
