Organ,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024
Aorta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colon cancer,0.0,0.0,0.0,0.5055374623491213,0.0,0.0,0.0,0.0,0.0,0.0
Esophagus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallbladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inferior vena cava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left adrenal gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left kidney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver,0.0,0.946534737944603,0.0,0.0,0.0,0.8733408760141443,0.0,0.0,0.0,0.0
Liver tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pancreas,0.0,0.0,0.30679870878948884,0.0,0.0,0.0,0.0,0.6139879597906481,0.0,0.0
Portal/splenic vein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right adrenal gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right kidney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8514842920833163,0.0
Stomach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
